respondent_id,h1n1_vaccine,seasonal_vaccine
26921,0.18,0.68
26922,0.06,0.59
26923,0.22,0.46
26924,0.59,0.85
26925,0.23,0.57
26926,0.65,0.66
26927,0.33,0.49
26928,0.05,0.47
26929,0.2,0.3
26930,0.49,0.9
26931,0.22,0.4
26932,0.17,0.87
26933,0.01,0.61
26934,0.44,0.61
26935,0.15,0.44
26936,0.46,0.4
26937,0.11,0.47
26938,0.01,0.06
26939,0.07,0.03
26940,0.15,0.37
26941,0.12,0.39
26942,0.62,0.73
26943,0.14,0.7
26944,0.03,0.09
26945,0.05,0.42
26946,0.03,0.57
26947,0.1,0.08
26948,0.1,0.16
26949,0.06,0.13
26950,0.09,0.63
26951,0.15,0.33
26952,0.77,1.01
26953,0.53,1.06
26954,0.02,0.24
26955,0.05,0.48
26956,0.09,0.04
26957,0.07,0.88
26958,0.28,0.74
26959,0.15,0.36
26960,0.06,0.06
26961,0.24,0.45
26962,0.17,0.82
26963,0.08,0.39
26964,0.08,0.33
26965,0.57,0.98
26966,0.04,0.09
26967,0.14,0.05
26968,0.09,0.62
26969,0.15,0.27
26970,0.71,0.56
26971,0.2,0.36
26972,0.02,0.02
26973,0.11,0.23
26974,0.28,0.54
26975,0.18,0.55
26976,0.85,0.71
26977,0.17,0.44
26978,0.01,0.67
26979,0.37,0.64
26980,0.05,0.12
26981,0.04,0.18
26982,0.54,0.73
26983,0.24,0.53
26984,0.04,0.23
26985,0.05,0.23
26986,0.09,0.32
26987,0.01,0.16
26988,0.06,0.18
26989,0.35,0.64
26990,0.12,0.05
26991,0.36,0.61
26992,0.43,0.48
26993,0.04,0.58
26994,0.22,0.34
26995,0.21,0.39
26996,0.45,0.47
26997,0.09,0.16
26998,0.0,0.11
26999,0.34,0.53
27000,0.05,0.25
27001,0.08,0.58
27002,0.07,0.41
27003,0.06,0.07
27004,0.11,0.0
27005,0.33,0.74
27006,0.69,0.76
27007,0.06,0.04
27008,0.06,0.02
27009,0.09,0.2
27010,0.02,0.22
27011,0.02,0.21
27012,0.44,0.6
27013,0.19,0.39
27014,0.07,0.38
27015,0.16,0.08
27016,0.02,0.28
27017,0.42,0.64
27018,0.02,0.14
27019,0.83,1.05
27020,0.44,0.54
27021,0.35,0.57
27022,0.1,0.31
27023,0.13,0.28
27024,0.08,0.28
27025,0.16,0.07
27026,0.01,0.28
27027,0.01,0.56
27028,0.38,0.71
27029,0.26,0.41
27030,0.37,0.37
27031,0.31,0.8
27032,0.15,0.5
27033,0.33,0.64
27034,0.17,0.76
27035,0.22,0.28
27036,0.33,0.65
27037,0.71,0.87
27038,0.03,0.03
27039,0.45,0.67
27040,0.18,0.24
27041,0.03,0.35
27042,0.01,0.47
27043,0.58,0.7
27044,0.13,0.11
27045,0.11,0.5
27046,0.16,0.29
27047,0.55,0.45
27048,0.04,0.14
27049,0.22,0.81
27050,0.09,0.48
27051,0.12,0.08
27052,0.13,0.44
27053,0.82,1.12
27054,0.01,0.23
27055,0.03,0.77
27056,0.15,0.08
27057,0.15,0.17
27058,0.74,0.88
27059,0.17,0.31
27060,0.09,0.45
27061,0.08,0.44
27062,0.16,0.59
27063,0.02,0.5
27064,0.18,0.52
27065,0.18,0.39
27066,0.12,0.67
27067,0.36,0.53
27068,0.65,0.99
27069,0.52,0.91
27070,0.0,0.14
27071,0.1,0.24
27072,0.18,0.76
27073,0.03,0.75
27074,0.18,0.48
27075,0.54,0.79
27076,0.52,0.54
27077,0.09,0.22
27078,0.18,0.66
27079,0.18,0.87
27080,0.21,0.42
27081,0.01,0.77
27082,0.36,0.56
27083,0.16,0.34
27084,0.67,0.37
27085,0.03,0.05
27086,0.06,0.15
27087,0.19,0.38
27088,0.51,0.81
27089,0.35,0.43
27090,0.27,0.45
27091,0.64,0.34
27092,0.2,0.34
27093,0.27,0.44
27094,0.21,0.01
27095,0.01,0.4
27096,0.15,0.48
27097,0.5,0.76
27098,0.64,0.91
27099,0.23,0.35
27100,0.03,0.58
27101,0.05,0.44
27102,0.22,0.88
27103,0.08,0.04
27104,0.39,0.5
27105,0.09,0.44
27106,0.51,0.7
27107,0.59,0.92
27108,0.14,0.04
27109,0.18,0.25
27110,0.04,0.41
27111,0.09,0.36
27112,0.46,0.74
27113,0.21,0.31
27114,0.13,0.03
27115,0.71,0.94
27116,0.01,0.54
27117,0.02,0.19
27118,0.07,0.4
27119,0.09,0.2
27120,0.21,1.02
27121,0.02,0.73
27122,0.06,0.25
27123,0.17,0.29
27124,0.05,0.13
27125,0.06,0.04
27126,0.54,0.14
27127,0.07,0.28
27128,0.31,0.46
27129,0.4,0.54
27130,0.2,0.33
27131,0.2,0.18
27132,0.39,0.77
27133,0.0,0.42
27134,0.57,0.92
27135,0.14,0.43
27136,0.11,0.41
27137,0.22,0.28
27138,0.16,0.44
27139,0.15,0.22
27140,0.9,1.04
27141,0.65,0.84
27142,0.01,0.24
27143,0.4,0.62
27144,0.0,0.09
27145,0.54,0.66
27146,0.19,1.06
27147,0.04,0.44
27148,0.23,0.32
27149,0.27,0.23
27150,0.59,1.08
27151,0.32,0.77
27152,0.14,0.4
27153,0.37,0.72
27154,0.71,0.9
27155,0.22,0.51
27156,0.14,0.31
27157,0.03,0.49
27158,0.03,0.3
27159,0.11,0.28
27160,0.17,0.22
27161,0.34,0.52
27162,0.17,0.94
27163,0.49,0.46
27164,0.22,0.29
27165,0.66,0.85
27166,0.36,0.38
27167,0.23,0.55
27168,0.13,0.62
27169,0.16,0.23
27170,0.41,0.75
27171,0.02,0.38
27172,0.07,0.73
27173,0.43,0.63
27174,0.03,0.07
27175,0.04,0.11
27176,0.52,0.94
27177,0.74,0.98
27178,0.07,0.31
27179,0.2,0.36
27180,0.2,0.34
27181,0.07,0.75
27182,0.5,0.94
27183,0.09,0.4
27184,0.13,0.48
27185,0.39,0.66
27186,0.19,0.5
27187,0.27,0.29
27188,0.2,0.55
27189,0.2,0.49
27190,0.37,0.7
27191,0.34,1.09
27192,0.47,0.76
27193,0.14,0.11
27194,0.26,0.42
27195,0.08,0.23
27196,0.19,0.29
27197,0.16,0.76
27198,0.8,1.09
27199,0.11,0.23
27200,0.36,0.72
27201,0.6,0.98
27202,0.22,0.13
27203,0.0,0.15
27204,0.09,0.18
27205,0.14,0.0
27206,0.31,0.26
27207,0.14,0.0
27208,0.7,0.59
27209,0.1,0.03
27210,0.15,0.3
27211,0.03,0.29
27212,0.43,0.83
27213,0.45,0.64
27214,0.08,0.25
27215,0.24,0.73
27216,0.27,0.75
27217,0.01,0.24
27218,0.71,0.9
27219,0.48,0.62
27220,0.25,0.36
27221,0.06,0.37
27222,0.16,0.54
27223,0.01,0.67
27224,0.2,0.73
27225,0.3,0.48
27226,0.05,0.37
27227,0.29,0.36
27228,0.46,0.74
27229,0.78,1.07
27230,0.26,1.1
27231,0.47,0.77
27232,0.3,0.73
27233,0.56,0.43
27234,0.04,0.0
27235,0.72,0.84
27236,0.19,0.91
27237,0.37,0.52
27238,0.27,0.52
27239,0.36,0.16
27240,0.06,0.35
27241,0.22,0.4
27242,0.27,0.48
27243,0.14,0.26
27244,0.01,0.12
27245,0.25,0.49
27246,0.79,0.98
27247,0.25,0.98
27248,0.31,0.73
27249,0.06,0.41
27250,0.23,0.5
27251,0.02,0.26
27252,0.37,0.62
27253,0.05,0.74
27254,0.85,1.06
27255,0.27,0.42
27256,0.67,1.11
27257,0.46,0.44
27258,0.32,0.62
27259,0.32,0.63
27260,0.21,0.6
27261,0.25,0.57
27262,0.21,0.48
27263,0.09,0.15
27264,0.07,0.12
27265,0.12,0.51
27266,0.08,0.41
27267,0.18,0.81
27268,0.19,0.1
27269,0.69,0.33
27270,0.08,0.07
27271,0.06,0.26
27272,0.04,0.58
27273,0.15,0.32
27274,0.27,0.51
27275,0.3,0.49
27276,0.12,0.25
27277,0.07,0.72
27278,0.14,0.34
27279,0.02,0.18
27280,0.12,0.23
27281,0.06,0.32
27282,0.11,0.77
27283,0.07,0.2
27284,0.26,0.53
27285,0.04,0.28
27286,0.12,0.06
27287,0.1,0.47
27288,0.64,0.81
27289,0.22,0.44
27290,0.09,0.18
27291,0.5,0.78
27292,0.13,0.71
27293,0.08,1.02
27294,0.1,0.23
27295,0.39,0.87
27296,0.12,0.69
27297,0.12,0.81
27298,0.05,0.42
27299,0.28,0.54
27300,0.13,0.94
27301,0.06,0.17
27302,0.27,0.53
27303,0.18,0.36
27304,0.0,0.54
27305,0.05,0.03
27306,0.23,0.39
27307,0.62,0.68
27308,0.33,0.43
27309,0.63,1.09
27310,0.02,0.08
27311,0.06,0.16
27312,0.1,0.34
27313,0.06,0.23
27314,0.11,0.16
27315,0.05,0.3
27316,0.25,0.54
27317,0.18,0.28
27318,0.24,0.35
27319,0.27,0.68
27320,0.35,0.66
27321,0.07,0.41
27322,0.49,0.28
27323,0.04,0.62
27324,0.26,0.58
27325,0.69,0.99
27326,0.09,0.58
27327,0.3,0.27
27328,0.41,0.63
27329,0.25,0.48
27330,0.16,0.52
27331,0.2,0.32
27332,0.09,0.92
27333,0.56,0.62
27334,0.16,0.17
27335,0.25,0.15
27336,0.24,0.39
27337,0.4,0.81
27338,0.35,0.42
27339,0.16,0.31
27340,0.14,0.11
27341,0.34,0.62
27342,0.14,0.76
27343,0.16,0.28
27344,0.31,0.45
27345,0.04,0.34
27346,0.55,0.97
27347,0.71,0.92
27348,0.08,0.35
27349,0.13,0.37
27350,0.06,0.87
27351,0.65,0.83
27352,0.14,0.44
27353,0.18,0.09
27354,0.25,0.45
27355,0.35,0.36
27356,0.25,0.53
27357,0.18,0.34
27358,0.29,0.62
27359,0.47,0.72
27360,0.21,0.59
27361,0.07,0.84
27362,0.28,0.48
27363,0.26,0.44
27364,0.05,0.09
27365,0.31,0.55
27366,0.29,0.38
27367,0.24,0.47
27368,0.03,0.35
27369,0.0,0.08
27370,0.16,0.67
27371,0.33,0.52
27372,0.17,0.3
27373,0.74,0.75
27374,0.06,0.33
27375,0.1,0.88
27376,0.51,0.52
27377,0.29,0.84
27378,0.17,0.32
27379,0.03,0.17
27380,0.17,1.08
27381,0.01,0.64
27382,0.4,0.21
27383,0.04,0.39
27384,0.0,0.28
27385,0.15,0.88
27386,0.23,0.72
27387,0.3,0.66
27388,0.22,0.4
27389,0.19,0.42
27390,0.11,0.15
27391,0.18,0.73
27392,0.6,0.79
27393,0.15,0.0
27394,0.0,0.57
27395,0.7,0.83
27396,0.19,0.15
27397,0.84,1.03
27398,0.28,0.7
27399,0.22,0.65
27400,0.12,0.41
27401,0.29,0.44
27402,0.32,0.73
27403,0.11,0.25
27404,0.41,0.32
27405,0.62,0.8
27406,0.08,0.3
27407,0.11,0.02
27408,0.19,0.48
27409,0.88,1.17
27410,0.03,0.35
27411,0.13,0.28
27412,0.23,0.92
27413,0.01,0.24
27414,0.72,0.73
27415,0.01,0.18
27416,0.34,0.36
27417,0.23,0.37
27418,0.52,0.21
27419,0.52,0.94
27420,0.06,0.25
27421,0.31,0.31
27422,0.22,0.58
27423,0.09,0.34
27424,0.12,0.44
27425,0.33,0.57
27426,0.25,0.4
27427,0.01,0.34
27428,0.15,0.35
27429,0.56,0.26
27430,0.14,0.79
27431,0.14,0.41
27432,0.31,0.48
27433,0.19,0.81
27434,0.12,0.03
27435,0.31,0.54
27436,0.02,0.22
27437,0.22,0.29
27438,0.01,0.25
27439,0.39,0.42
27440,0.08,0.07
27441,0.72,0.83
27442,0.41,0.97
27443,0.1,0.22
27444,0.03,0.05
27445,0.06,0.15
27446,0.23,0.23
27447,0.13,0.41
27448,0.28,0.62
27449,0.24,1.02
27450,0.24,1.0
27451,0.07,0.31
27452,0.1,0.2
27453,0.13,0.88
27454,0.23,0.41
27455,0.28,0.15
27456,0.22,0.5
27457,0.16,0.41
27458,0.01,0.28
27459,0.06,0.21
27460,0.67,0.84
27461,0.16,0.29
27462,0.1,0.45
27463,0.23,0.48
27464,0.38,0.63
27465,0.57,0.83
27466,0.1,0.1
27467,0.0,0.32
27468,0.03,0.36
27469,0.09,0.59
27470,0.65,0.81
27471,0.16,0.53
27472,0.31,0.62
27473,0.07,0.27
27474,0.22,0.42
27475,0.01,0.09
27476,0.08,0.56
27477,0.07,0.35
27478,0.12,0.63
27479,0.15,0.21
27480,0.26,0.48
27481,0.55,0.66
27482,0.55,0.34
27483,0.39,0.56
27484,0.29,0.62
27485,0.09,0.64
27486,0.09,0.0
27487,0.26,0.99
27488,0.56,0.77
27489,0.68,0.62
27490,0.06,0.41
27491,0.43,0.69
27492,0.08,0.64
27493,0.21,0.87
27494,0.35,0.66
27495,0.05,0.27
27496,0.03,0.35
27497,0.26,0.07
27498,0.13,0.65
27499,0.2,0.68
27500,0.15,0.92
27501,0.14,0.35
27502,0.22,0.76
27503,0.15,0.42
27504,0.09,0.02
27505,0.01,0.28
27506,0.37,0.58
27507,0.11,0.3
27508,0.08,0.06
27509,0.12,0.54
27510,0.64,0.46
27511,0.25,0.5
27512,0.06,0.38
27513,0.13,0.45
27514,0.28,0.56
27515,0.64,0.41
27516,0.38,0.59
27517,0.13,0.09
27518,0.71,0.91
27519,0.05,0.22
27520,0.16,0.22
27521,0.13,0.52
27522,0.25,0.32
27523,0.05,0.27
27524,0.08,0.37
27525,0.07,0.29
27526,0.35,0.51
27527,0.08,0.79
27528,0.4,0.84
27529,0.19,0.65
27530,0.23,0.31
27531,0.11,0.02
27532,0.1,0.86
27533,0.41,0.61
27534,0.07,0.1
27535,0.02,0.76
27536,0.21,0.45
27537,0.38,0.49
27538,0.53,0.54
27539,0.39,0.55
27540,0.6,0.32
27541,0.57,0.93
27542,0.0,0.25
27543,0.53,0.68
27544,0.1,0.22
27545,0.32,0.31
27546,0.61,0.67
27547,0.25,0.38
27548,0.18,1.1
27549,0.05,0.63
27550,0.21,0.21
27551,0.11,0.31
27552,0.02,0.77
27553,0.16,0.23
27554,0.42,0.53
27555,0.25,0.43
27556,0.28,0.64
27557,0.26,0.79
27558,0.05,0.29
27559,0.14,0.64
27560,0.47,0.73
27561,0.49,0.65
27562,0.35,0.62
27563,0.29,0.65
27564,0.37,0.58
27565,0.16,0.26
27566,0.3,0.14
27567,0.07,0.6
27568,0.28,1.02
27569,0.06,0.06
27570,0.35,0.82
27571,0.0,0.14
27572,0.15,0.04
27573,0.11,0.6
27574,0.33,0.47
27575,0.14,0.43
27576,0.0,0.16
27577,0.15,0.62
27578,0.25,0.4
27579,0.21,0.56
27580,0.13,0.41
27581,0.11,0.19
27582,0.17,0.36
27583,0.05,0.23
27584,0.61,0.53
27585,0.19,0.44
27586,0.51,0.81
27587,0.12,0.49
27588,0.1,0.36
27589,0.24,0.47
27590,0.32,0.47
27591,0.26,0.87
27592,0.06,0.03
27593,0.18,0.15
27594,0.05,0.35
27595,0.04,0.12
27596,0.22,0.37
27597,0.39,0.46
27598,0.24,0.26
27599,0.52,0.75
27600,0.09,0.47
27601,0.19,0.75
27602,0.68,0.8
27603,0.12,0.15
27604,0.12,0.18
27605,0.67,0.78
27606,0.31,0.49
27607,0.5,0.41
27608,0.21,0.38
27609,0.28,0.58
27610,0.48,0.59
27611,0.4,0.33
27612,0.06,0.55
27613,0.7,0.91
27614,0.19,0.45
27615,0.17,0.94
27616,0.03,0.08
27617,0.48,0.57
27618,0.35,0.64
27619,0.38,0.5
27620,0.54,0.69
27621,0.2,0.37
27622,0.61,0.98
27623,0.29,0.66
27624,0.2,0.86
27625,0.03,0.41
27626,0.06,0.39
27627,0.73,0.75
27628,0.0,0.63
27629,0.12,0.2
27630,0.36,0.78
27631,0.21,0.49
27632,0.13,0.19
27633,0.41,0.55
27634,0.13,0.01
27635,0.19,0.42
27636,0.43,1.13
27637,0.04,0.2
27638,0.32,0.46
27639,0.05,0.24
27640,0.86,0.62
27641,0.52,0.45
27642,0.35,0.54
27643,0.02,0.01
27644,0.04,0.37
27645,0.0,0.06
27646,0.12,0.35
27647,0.32,0.47
27648,0.08,0.08
27649,0.1,0.53
27650,0.17,0.71
27651,0.34,0.74
27652,0.19,0.35
27653,0.05,0.1
27654,0.23,0.45
27655,0.26,0.41
27656,0.17,0.36
27657,0.7,0.47
27658,0.07,0.6
27659,0.12,0.18
27660,0.55,0.27
27661,0.17,0.02
27662,0.07,0.48
27663,0.27,0.89
27664,0.05,0.07
27665,0.79,0.79
27666,0.27,0.7
27667,0.14,0.24
27668,0.77,1.1
27669,0.2,0.92
27670,0.47,0.93
27671,0.12,0.61
27672,0.03,0.28
27673,0.04,0.08
27674,0.17,0.44
27675,0.45,0.54
27676,0.23,0.81
27677,0.24,0.45
27678,0.22,0.51
27679,0.2,0.47
27680,0.63,0.85
27681,0.23,0.15
27682,0.01,0.82
27683,0.25,0.53
27684,0.22,0.41
27685,0.11,0.15
27686,0.26,0.49
27687,0.12,0.04
27688,0.08,0.43
27689,0.6,1.01
27690,0.7,0.99
27691,0.67,0.86
27692,0.02,0.38
27693,0.19,0.79
27694,0.04,0.19
27695,0.25,0.5
27696,0.04,0.6
27697,0.76,1.04
27698,0.3,0.41
27699,0.12,0.27
27700,0.16,0.4
27701,0.14,0.21
27702,0.49,0.29
27703,0.11,0.03
27704,0.07,0.22
27705,0.64,0.69
27706,0.18,0.93
27707,0.07,0.34
27708,0.35,0.55
27709,0.3,0.27
27710,0.03,0.47
27711,0.52,0.59
27712,0.19,0.23
27713,0.05,0.14
27714,0.21,0.08
27715,0.69,0.72
27716,0.1,0.03
27717,0.09,0.25
27718,0.25,0.44
27719,0.14,0.07
27720,0.04,0.22
27721,0.48,0.28
27722,0.17,0.42
27723,0.19,0.83
27724,0.01,0.14
27725,0.12,0.46
27726,0.23,0.45
27727,0.26,1.01
27728,0.35,0.65
27729,0.17,0.19
27730,0.53,0.58
27731,0.71,0.87
27732,0.02,0.83
27733,0.17,0.4
27734,0.15,0.47
27735,0.63,0.66
27736,0.29,0.37
27737,0.11,0.67
27738,0.56,1.08
27739,0.44,0.71
27740,0.04,0.38
27741,0.2,0.57
27742,0.17,0.6
27743,0.56,0.61
27744,0.2,0.32
27745,0.51,0.74
27746,0.26,0.7
27747,0.24,0.44
27748,0.14,0.21
27749,0.14,0.79
27750,0.23,0.48
27751,0.22,0.37
27752,0.4,0.77
27753,0.09,0.17
27754,0.13,0.93
27755,0.86,1.05
27756,0.22,0.27
27757,0.13,0.27
27758,0.04,0.7
27759,0.05,0.25
27760,0.44,0.84
27761,0.07,0.6
27762,0.01,0.06
27763,0.0,0.42
27764,0.4,0.71
27765,0.08,0.3
27766,0.63,0.7
27767,0.62,0.92
27768,0.16,0.04
27769,0.2,0.47
27770,0.01,0.36
27771,0.11,0.55
27772,0.62,0.67
27773,0.21,0.43
27774,0.33,0.25
27775,0.29,0.34
27776,0.19,0.11
27777,0.22,0.33
27778,0.19,0.31
27779,0.12,0.0
27780,0.16,0.66
27781,0.05,0.14
27782,0.7,0.83
27783,0.2,0.48
27784,0.19,0.37
27785,0.03,0.32
27786,0.13,0.3
27787,0.15,0.24
27788,0.01,0.3
27789,0.73,0.89
27790,0.57,0.76
27791,0.1,0.36
27792,0.02,0.47
27793,0.24,0.22
27794,0.2,0.2
27795,0.36,0.6
27796,0.13,0.04
27797,0.58,0.59
27798,0.48,0.04
27799,0.14,0.05
27800,0.31,0.46
27801,0.09,0.39
27802,0.49,0.79
27803,0.09,0.05
27804,0.59,0.8
27805,0.22,0.34
27806,0.3,0.66
27807,0.28,0.66
27808,0.58,0.7
27809,0.45,0.78
27810,0.17,0.0
27811,0.0,0.26
27812,0.2,0.3
27813,0.33,0.32
27814,0.35,0.55
27815,0.26,0.56
27816,0.5,0.69
27817,0.22,0.42
27818,0.23,0.6
27819,0.21,0.41
27820,0.7,0.7
27821,0.17,0.4
27822,0.22,0.26
27823,0.41,0.46
27824,0.24,0.91
27825,0.13,0.15
27826,0.27,0.58
27827,0.17,0.17
27828,0.06,0.33
27829,0.07,0.24
27830,0.17,0.27
27831,0.17,0.49
27832,0.02,0.36
27833,0.22,0.4
27834,0.67,0.82
27835,0.29,0.6
27836,0.14,1.02
27837,0.4,0.8
27838,0.04,0.41
27839,0.05,0.28
27840,0.33,0.64
27841,0.19,0.64
27842,0.34,0.69
27843,0.02,0.67
27844,0.02,0.85
27845,0.12,0.61
27846,0.11,0.03
27847,0.07,0.45
27848,0.67,0.98
27849,0.21,0.85
27850,0.16,0.13
27851,0.5,0.28
27852,0.26,0.65
27853,0.19,0.25
27854,0.27,0.71
27855,0.2,0.37
27856,0.18,0.6
27857,0.49,0.83
27858,0.57,0.98
27859,0.89,1.14
27860,0.18,0.79
27861,0.04,0.32
27862,0.09,0.05
27863,0.23,0.34
27864,0.06,0.26
27865,0.12,0.36
27866,0.76,0.77
27867,0.39,0.55
27868,0.53,0.84
27869,0.05,0.27
27870,0.41,0.17
27871,0.23,0.59
27872,0.07,0.14
27873,0.08,0.08
27874,0.29,0.64
27875,0.37,0.45
27876,0.17,0.08
27877,0.39,0.65
27878,0.09,0.68
27879,0.2,0.39
27880,0.0,0.23
27881,0.12,0.53
27882,0.21,0.51
27883,0.12,0.01
27884,0.06,0.26
27885,0.09,0.2
27886,0.28,0.44
27887,0.65,0.61
27888,0.1,0.38
27889,0.07,0.19
27890,0.24,0.47
27891,0.26,0.55
27892,0.07,0.05
27893,0.04,0.17
27894,0.27,0.38
27895,0.2,0.66
27896,0.01,0.24
27897,0.04,0.14
27898,0.13,0.09
27899,0.04,0.02
27900,0.66,0.99
27901,0.2,0.28
27902,0.09,0.22
27903,0.27,0.29
27904,0.29,0.33
27905,0.03,0.43
27906,0.0,0.34
27907,0.76,1.12
27908,0.32,0.84
27909,0.22,0.31
27910,0.31,0.58
27911,0.6,0.78
27912,0.08,0.47
27913,0.1,0.33
27914,0.07,0.32
27915,0.14,0.45
27916,0.1,0.65
27917,0.13,0.36
27918,0.12,0.9
27919,0.07,0.38
27920,0.2,0.77
27921,0.1,0.69
27922,0.32,0.44
27923,0.26,0.97
27924,0.03,0.06
27925,0.21,0.08
27926,0.4,0.39
27927,0.07,0.15
27928,0.56,0.84
27929,0.03,0.79
27930,0.43,0.42
27931,0.85,1.0
27932,0.06,0.03
27933,0.05,0.41
27934,0.15,0.12
27935,0.27,0.71
27936,0.3,0.71
27937,0.57,0.68
27938,0.02,0.17
27939,0.11,0.26
27940,0.05,0.29
27941,0.06,0.15
27942,0.03,0.25
27943,0.0,0.51
27944,0.27,0.39
27945,0.5,0.28
27946,0.19,0.31
27947,0.57,1.0
27948,0.16,0.0
27949,0.03,0.3
27950,0.07,0.75
27951,0.47,0.53
27952,0.02,0.88
27953,0.23,0.6
27954,0.11,0.65
27955,0.14,0.62
27956,0.48,0.72
27957,0.04,0.14
27958,0.67,0.89
27959,0.19,0.2
27960,0.07,0.64
27961,0.02,0.34
27962,0.68,0.8
27963,0.01,0.34
27964,0.09,0.15
27965,0.06,0.05
27966,0.48,0.66
27967,0.13,0.22
27968,0.26,0.54
27969,0.44,0.77
27970,0.19,0.31
27971,0.2,0.81
27972,0.22,0.55
27973,0.49,0.64
27974,0.08,0.24
